"baseline","instruction","phs_01","mean","median","sd","stderr","ci_upper","ci_mean","ci_lower","ci"
32,"detect",0,0.0393288194444444,0.033966666666666,0.0280675459354927,0.0019461341547473,0.0433242397333497,0.0393288194444444,0.0353333991555391,0.00799084057781066
38,"detect",0,0.169776163873371,0.163933333333334,0.0246980755174392,0.00171250341698863,0.173419066112016,0.169776163873371,0.166133261634725,0.00728580447729171
44,"detect",0,0.295932905982906,0.290033333333334,0.0243665620777007,0.00168951709572935,0.299786661674156,0.295932905982906,0.292079150291656,0.00770751138250003
32,"pain",0,0.404562592592593,0.407666666666667,0.185540970348623,0.0128649515825251,0.431852237382263,0.404562592592593,0.377272947802922,0.0545792895793411
38,"pain",0,0.490776684881603,0.482333333333334,0.19522429576286,0.0135363693959488,0.519251040971377,0.490776684881603,0.462302328791829,0.0569487121795481
44,"pain",0,0.608205584642234,0.6072,0.196610062663582,0.0136324550424179,0.636267174629479,0.608205584642234,0.580143994654989,0.0561231799744895
32,"detect",1,0.0859083333333333,0.079233333333333,0.0492941278149541,0.00341793279646332,0.112175319915821,0.0859083333333333,0.0596413467508459,0.0525339731649747
38,"detect",1,0.18696091954023,0.183866666666666,0.0300216192854595,0.00208162476358044,0.198380532784214,0.18696091954023,0.175541306296245,0.0228392264879692
44,"detect",1,0.319841025641026,0.3126,0.0494387747129194,0.00342796225429891,0.333604868414997,0.319841025641026,0.306077182867054,0.0275276855479432
32,"pain",1,0.411295238095238,0.423833333333333,0.159084997265881,0.0110305598999843,0.472981960263576,0.411295238095238,0.3496085159269,0.123373444336677
38,"pain",1,0.470109333333333,0.438733333333334,0.192503587152725,0.0133477221959596,0.549570908659882,0.470109333333333,0.390647758006785,0.158923150653097
44,"pain",1,0.54498431372549,0.4424,0.213646060537063,0.014813688962832,0.654830981993276,0.54498431372549,0.435137645457704,0.219693336535572
